,最新价,涨跌_今日,股票代码,公司名称,今日主力流入_元,所属模块,涨跌_5日,涨跌_10日,主力净占比_5日,主力净占比_10日,主力净占比_今日,排名_今日,排名_5日,排名_10日
288,9.86,1.13,300932,三友联众,6233212.0,电网设备,8.11,1.86,-3.04,-3.94,8.3,579.0,3088,3956
289,26.61,3.26,300893,松原股份,2336148.0,汽车零部件,-6.3,-12.75,5.11,4.1,8.27,583.0,258,235
290,2.42,3.42,300247,融捷健康,2266824.0,家电行业,0.83,-1.63,-0.07,2.25,8.26,584.0,1516,518
291,22.4,3.61,300911,亿田智能,7119403.0,家电行业,-11.85,-10.79,0.62,-3.13,8.26,585.0,1178,3458
292,14.24,3.11,000636,风华高科,26317133.0,电子元件,-4.3,-1.45,-6.54,-4.05,8.24,589.0,4608,4011
293,2.35,2.17,000720,新能泰山,1147316.0,电网设备,0.43,-3.29,-3.24,-0.25,8.22,590.0,3203,1529
294,2.89,2.48,002183,怡 亚 通,4508303.0,贸易行业,1.76,1.05,1.35,0.43,8.21,591.0,930,1135
295,6.02,2.21,002205,国统股份,1659603.0,水泥建材,2.73,0.5,-0.9,-3.69,8.2,593.0,1917,3806
296,8.35,0.72,002900,哈三联,1200233.0,化学制药,-2.0,-5.65,-1.39,-1.91,8.16,596.0,2180,2619
297,1.8,2.86,002775,文科股份,670754.0,工程建设,2.27,-1.64,-3.32,-1.15,8.04,603.0,3253,2078
298,11.06,2.41,002053,云南能投,4424627.0,化学原料,-0.72,-6.35,1.09,3.25,8.0,606.0,1021,332
299,2.41,0.84,000797,中国武夷,4846186.0,房地产开发,-0.41,-4.74,0.67,-2.85,7.98,607.0,1159,3262
300,2.18,1.4,000402,金 融 街,3143049.0,房地产开发,-3.54,-6.84,-4.92,0.65,7.97,608.0,4028,1036
301,12.27,0.57,000426,兴业银锡,24979555.0,有色金属,-10.7,-14.38,2.4,0.47,7.94,609.0,638,1117
302,10.63,7.59,301136,招标股份,8582534.0,工程咨询服务,6.19,-7.57,0.49,-3.0,7.9,611.0,1240,3370
303,21.68,7.17,002508,老板电器,27905445.0,家电行业,2.85,1.74,3.09,3.76,7.89,612.0,499,268
304,8.47,1.68,003032,传智教育,4792508.0,教育,-2.76,-0.7,-2.1,-1.61,7.86,615.0,2563,2406
305,6.13,-1.13,300715,凯伦股份,812726.0,装修建材,-3.77,-10.9,4.54,3.83,7.86,616.0,316,257
306,91.0,2.1,002920,德赛西威,76690937.0,汽车零部件,-8.81,-14.59,-5.84,-3.08,7.85,617.0,4385,3422
307,3.66,3.68,000530,冰山冷热,2965958.0,通用设备,2.23,-0.81,-1.62,-1.37,7.85,618.0,2290,2224
308,11.25,3.4,002722,物产金轮,2052764.0,纺织服装,0.99,-4.74,1.08,-0.05,7.85,619.0,1027,1422
309,1.5,2.74,002076,星光股份,1681377.0,家电行业,2.04,-1.32,1.78,-8.77,7.78,626.0,805,5263
310,36.16,6.01,301591,肯特股份,8257246.0,塑料制品,2.0,-2.95,0.96,-1.82,7.78,627.0,1062,2557
311,13.43,4.35,300879,大叶股份,3909474.0,专用设备,2.44,-5.75,-2.98,-1.67,7.77,630.0,3057,2449
312,11.97,1.01,002907,华森制药,1170583.0,中药,-2.29,-4.47,-0.71,-2.48,7.77,631.0,1823,3011
313,8.38,5.01,300884,狄耐克,6535675.0,计算机设备,9.54,2.44,1.8,0.36,7.71,633.0,797,1162
314,12.89,2.87,300455,航天智装,43111915.0,计算机设备,9.8,13.27,3.82,1.46,7.7,635.0,374,725
315,10.52,2.43,300059,东方财富,131434685.0,互联网服务,-1.68,1.54,-4.06,-3.72,7.69,636.0,3630,3828
316,4.46,1.83,002212,天融信,5218795.0,软件开发,1.83,-4.5,-0.47,-3.01,7.68,637.0,1719,3377
317,61.67,2.17,301489,思泉新材,4260953.0,消费电子,-2.76,-7.69,-1.85,-4.24,7.68,638.0,2432,4114
318,12.88,5.75,300503,昊志机电,14204981.0,通用设备,3.37,5.06,-0.06,1.67,7.66,639.0,1513,671
319,3.57,2.59,000973,佛塑科技,1975414.0,塑料制品,2.59,-1.38,3.17,1.0,7.65,640.0,484,869
320,1.25,0.0,002217,*ST合泰,3603110.0,光学光电子,-1.57,-3.1,0.61,0.03,7.62,641.0,1180,1329
321,24.14,3.69,300916,朗特智能,4439506.0,消费电子,-5.0,-11.41,-3.39,-3.17,7.61,645.0,3292,3487
322,13.58,1.95,300717,华信新材,866692.0,塑料制品,-0.59,-1.88,0.47,-7.21,7.61,646.0,1251,5100
323,17.75,1.14,002273,水晶光电,39007885.0,光学光电子,-6.13,-9.11,-2.82,-4.11,7.57,651.0,2955,4047
324,3.57,1.42,002061,浙江交科,3252648.0,工程建设,-1.38,-2.19,5.63,1.5,7.57,652.0,211,717
325,2.65,0.0,002289,ST宇顺,493580.0,光学光电子,1.92,0.0,-1.94,-0.05,7.56,656.0,2485,1421
